,tweet
169893,"#Trump did or did not a test at the day of his debate with #Biden.
"
169911,"RT @csd: @SteveSchmidtSES @ProjectLincoln @realDonaldTrump Always good to hear that other people are watching the same debate I am.
"
170071,"@NBCNewsPR @SavannahGuthrie @NBCNews @SavannahGuthrie - can you say media bias?  Is this the third televised debate?
"
170101,"I thought they canceled the debate tonight? #PresidentialDebate2020 #TrumpTownHall
"
170113,"Does @SavannahGuthrie think this is a debate?
"
170122,"@cjtruth Is this a debate between Trump and Savannah?! She is supposed to be a facilitator! Who picked her!? Ugh.
"
170180,"RT @WgaBrittany: This is a debate, not a town hall! #TrumpTownHall
"
170249,"@henryrodgersdc Why does he have to debate Savannah ?
"
170281,"This looks familiar.
"
170309,"@realDonaldTrump makes Dems look so bad!
"
170445,"RT @CHJoe_s: Is there a Trump town hall later tonight? All I can find is the Trump VS Savanah debate with a few ""undecided voters""........
"
170524,"RT @ESPNcricinfo: Which side of the cover-drive debate are you on: Birthday boy Babar Azam or Virat Kohli? https://t.co/pbmTq5DpdT
"
170562,"Here she goes again - this isn't a debate - he can not even finish answering a question from the people!
"
170585,"DID ANYONE THINK THAT THIS WOULD BE FAIR TO THE PRESIDENT...WITH A RADICAL LIBTURD AS MODERATOR????????
"
170619,"RT @AwardsDaily: I actually think both these town halls are more useful for voters than a debate.
"
170870,"BREAKING: Trump can't say if he was tested for coronavirus day of first presidential debate
"
170955,"RT @tiggy00: One of the funniest things I saw all day!  @realDonaldTrump @JoeBiden https://t.co/5tAbVho69W
"
171053,"#SavannahGuthrie  it's a town hall not a debate let the people ask the dam question
"
171070,"AGAIN the moderator is badgering and Trump is having to debate the moderator
"
171243,"Is this a debate or a Town Hall!?
"
171253,"So much for a townhall @POTUS is having a debate tonight with #SavannaGuthrie meanwhile on ABC 20 people have tuned in.
"
171390,"@thatdebraelaine If there is a next debate...
"
171447,"Savannah is a total bitch.
"
171453,"#Verizon #ATT #Concept2 (just some other options)
"
171465,"RT @panhandlelove: Right!
"
171528,"@RobertV90266705 @thehill Evolution is up for debate. All science is. Science isn't an ideology.
"
171548,"You KNOW he didn't!
"
171568,"Aren't there equal time laws?
"
171575,"RT @AlexCSinger16: Who let him do this debate? I just want to say thank you.
"
171620,"I feel your pain, @nbcnews.
"
171648,"Did you miss the memo that the debate was canceled @SavannahGuthrie #NBCTrumptownhall
"
171696,"I do not agree with the attack of Savannah Guthrie.  As usual loaded Democrat narrative.
"
171740,"Ah yes, the existence of climate change is very much up for debate.
"
171913,"he literally wiggled his way out of the debate &amp; is now-very likely adding more covid cases in florida
"
171942,"@SenSchumer He was infected at the debate.
"
171974,"Trumpo has another debate tonight it seems.
"
172016,"Why is Trump in a debate now with the moderator?
"
172027,"Wait the debate is on
"
172056,"@RyanAFournier I thought this was a town hall? Not a Guthrie vs Trump Debate!!!!
"
172088,"The thing is: Covid-19 was covered in the first debate. It did not need to be given so much air time again.
"
172125,"RT @CathySmith35: @megynkelly @seanmdav Can you imagine @SavannahGuthrie as a debate monitor?! And I thought Chris Wallace was terrible!
"
172179,"RT @DidYouHear2: #Tucker Who said the debate was cancelled? Trump is debating with Savannah Guthrie.
"
172260,"@deCaptRon @cr3wdawg @TazziCarmine @megynkelly oh so exactly what Trump did in the first debate lmao clown
"
172498,"heard Ms Guthrie is being a leftist hack
"
172563,"Trump called it.  Fake NBC debate.  No townhall. #TrumpTownHall
"
172600,"@MZHemingway @drawandstrike This is obviously a debate...  Trump vs Savanah/Biden team.
"
172726,"@liquidlaugh You're missing Savannah Guthrie debate President Trump.
"
172737,"i cant wait till January when i can never see this douchebag again
"
172767,"@SavannahGuthrie is losing the debate
"
172787,"@CNBCnow is this an interview or a debate with Savanna? Good god people. Do you want to hear from the @POTUS or the interviewee.
"
172852,"@kayleighmcenany @realDonaldTrump Lol wtf is this?? Debate with Savannah?? Similar to the debate with George.
"
172913,"RT @DemocracyInn: BREAKING: Trump can't say if he was tested for coronavirus day of first presidential debate
"
173062,"RT @NovusDivus: @omwill3 @GStephanopoulos Just tweeted the same thing
"
173115,"@mercedesschlapp @JoeBiden @ABCPolitics Well, maybe President Trump should have agreed to the debate.  Pussy.
"
173135,"This is a debate between @realDonaldTrump and @SavannahGuthrie with the crowd acting as a moderator. #TrumpTownHall
"
173155,"@NBCPolitics  @NBCNews are you happy about his insults? Disgusting
"
173243,"@Taraooden45 I thought this Trump Town Hall was to be a town hall... not a debate with a @TODAYshow cunt
"
173284,"Frank how you feeling today?
"
173303,"@ECLMiller @SteveSchmidtSES @ProjectLincoln @realDonaldTrump @SavannahGuthrie is winning the Trump debate hands-down.
"
173320,"@AmericaFirstPAC @MSNBC So now its rude to interrupt...Where were you doing the 1st debate https://t.co/dnbrDwomVR
"
173362,"Yeah, that fly really liked you. She laid 100,000 eggs and now you must bring each one to term.
"
173421,"@JackPosobiec @SavannahGuthrie is another @chriswallace. She went to debate @potus.
"
173437,"@SavannahGuthrie you embarrassed yourself. Hack.
"
173445,"Why the hell is President Trump having to debate the moderator???
"
173475,"The Trump town hall sounds like the #SavannahGuthrie Donald Trump debate. Let the people ask the questions and stop interrupting.
"
173544,"Well I can bet after the first debate Savannah complained about all the Trump interruptions, yet she continues to interrupt him
"
173566,"#savanahgeorge stop arguing with Trump.  This is not a debate and not an interview
"
173629,"Is this a Townhall or a debate against some bitch?
"
173656,"Only @nbc tonight although  Debater Guthrie not up to a task
"
173668,"So glad @realDonaldTrump agreed to help NBC with their ratings tonight against ABC since they no credibly. Wish Hoda was doing this Debate
"
173701,"OMG!!!  @realDonaldTrump is a DEMENTED FREAK!
"
173712,"Why does #SavannahGuthrie think her job is to debate the President?
"
173739,"@NBCNews is this a debate ?? @SavannahGuthrie is debating Trump!  Thought this was a town hall? @JrzyJoePiscopo
"
173762,"Trump is doing pretty good in the debate.
"
173795,"RT @CanadaGuy64: @MZHemingway @LindaSuhler She needs to stop mediasplaining  ...  sounds like a debate not a town hall..
"
173818,"This is not a town hall meeting. It is a jerk female trying to debate our President. Turn off this farce!  #TrumpTownHall
"
173844,"This is more like a debate between The President and Savannah! Instead of letting the people speak! @SavannahGuthrie @realDonaldTrump
"
173933,"@SavannahGuthrie  take note and get back to your role!  Stop arguing everything!
"
173971,"RT @CatSkoor: So no one has to watch it, follow this thread.
"
173987,"This President is out of Control!  @gop @dnc
"
174092,"@greta Why does #SavannahGuthrie think her job is to debate the President?
"
174136,"Chile
"
174165,"Is anyone keeping track of talking time for Trump and his debate opponent, Savannah Guthrie?
"
174222,"Some town hall. This ""host"" is more interested in being in a debate.
"
174264,"@krg1192 @TheLeoTerrell @realDonaldTrump not at all. another debate with the moderator...
"
174306,"@GPrime85 let me moderate, ill wear my trucker hat and sit in my hammock while they debate https://t.co/Y5na6HnimO
"
174328,"RT @jrwebber16: @H_MitchellPhoto And schedules it opposite Bidens debate. That's not good for democracy.
"
174365,"@SavannahGuthrie shut UP. You are not in a debate with @realDonaldTrump #trumptownhall
"
174421,"@ClaraJeffery That one answer provided more policy points than I think we heard in the entire first debate.
"
174441,"@SavannahGuthrie IT'S NOT A DEBATE, LET HIM ANSWER QUESTIONS
"
174542,"@realDonaldTrump debate prep is horrible #TrumpTownHall.
"
174590,"@SavannahGuthrie why so Angry Savannah??
"
174622,"NBC you suck. https://t.co/wXZhSMaCzI
"
174646,"@megynkelly It's not a debate this time genius
"
174656,"@TheRealHoarse @brycetache Spot on! You win best Tweet of the debate!
"
174701,"Get a life .
"
174922,"@RealRLimbaugh @realDonaldTrump There has been no comment from the debate commission. I wonder why?
"
174940,"@SenatorCollins, who are you voting for? #MainersDeservetoKnow #mepolitics
"
174953,"RT @thejimjams: True, but Trump is handling it. https://t.co/VKgZYicms3
"
174968,"She could be a female #PiersMorgan ......
"
175013,"@kayleighmcenany @JoeBiden @realDonaldTrump @ABC I doubt it. Been watching the Trump debate too!
"
175158,"RT @xoxo_marianna: Babbling fool
"
175177,"This is no townhall
"
175252,"RT @lenoretaylor: Town halls live: Trump and Biden's dueling events with voters get under way https://t.co/5avV21sz44
"
175274,"@Cwbcss @rebeccajoc @greggutfeld Savannah Guthrie - I NEED MY JOB SO I'M GOING TO DEBATE YOU ALL NIGHT
"
175314,"@TrumpStudents @realDonaldTrump @SavannahGuthrie Is being a liberal b*% trying to debate him.
"
175332,"RT @Gerald12_ryan: This is supposed to be a Townhall for President Trump, but it is more like a debate between Trump and Savannah.
"
175359,"disgusting!
"
175361,"Is this debate between @potus vs @SavannahGuthrie ?
"
175379,"Is there a debate going on? LOL, I had no idea.
"
175436,"@guitarplayercr @Real_CNote any updates on what this says?
"
175455,"@seanmdav @joanalex28 At least they let sleepy joe stay home for this debate
"
175470,"RT @McFaul: The science on climate change is just that - science, not opinion. This Barrett answer will not age well.
"
175496,"If @SavannahGuthrie can debate Trump why on earth couldn't they have just brought @JoeBiden in to debate him? We got the debate anyway.
"
175532,"Why does the President have to debate @SavannahGuthrie  thought this was a town hall session.  She needs to stop her biased comments.
"
175565,"@SavannahGuthrie is awful needs a keratin treatment for that Miami humidity
"
175638,"What are the chances we get a question in this debate from a blue collar working white guy?  Ha ha - I slay me!
"
175664,"So it turns out there is a debate tonight.  It's between @realDonaldTrump and @SavannahGuthrie
"
175956,"@DLoesch Seriously, enough with the mask debate.
"
175990,"@ktumulty Trump is taking a lot and responding very well, better than debate.
"
176006,"I'm sure you're ready for NBC to treat you differently.
"
176041,"savannah guthrie is doing a better job than any of the debate moderators
"
176124,"@wegrindhere @megynkelly Meanwhile at Trump debate... https://t.co/g1w8cZCetU
"
176152,"@realDonaldTrump i didn't realize you signed up for a debate with Savanah.  Ugh, she is obnoxious and on a mission.
"
176177,"Anyone watching the debate @realDonaldTrump is having with Samantha Guthrie?  #TrumpTownHall
"
176191,"@SavannahGuthrie is in full shrill cunt mode tonight...
"
176201,"@FrankLuntz perhaps he should have done the debate
"
176234,"@RealSaavedra But it shows he can debate anyone. What a stud
"
176260,"RT @brianrayguitar: Yeah, that fly really liked you. She laid 100,000 eggs and now you must bring each one to term. https://t.co/6peUICNTQ3
"
176289,"Wait I thought Trump was a stable genius and knows EVERYTHING????????
"
176339,"@greggutfeld This is disgusting. She is interrupting him more than Biden did in the debate.
"
176378,"@FrankLuntz @SavannahGuthrie @GStephanopoulos Maybe Donnie shouldn't have backed out of the virtual debate
"
176395,"@IngrahamAngle since he was too much of a pussy to debate Biden good for her!
"
176441,"@SavannahGuthrie I honestly did not think you had that in you. Thank you for holding Trump accountable! Best. Debate. Ever. YOU WON!
"
176470,"and she is stuck in second grade
"
176497,"1. Too late bud 
"
176527,"Wow! Did you watch the first debate. He interrupted *73* times!
"
176543,"Jesus.
"
176595,"@RichardGrenell @KurtSchlichter @debates Turns out there is a debate, Guthrie decided to show her bias.
"
176615,"@JackPosobiec @SavannahGuthrie Savannah is worse than Chris Wallace. 
"
176626,"@kayleighmcenany @LalaFlorida94 @JoeBiden @realDonaldTrump @ABC Nah.  Just watching NBC moderator badger and debate our prez
"
176699,"RT @BammBamm8799: This is a town hall not a debate. Savannah needs to be quiet!
"
176726,"#trumpTownhall
"
176754,"@NBCNews @SavannahGuthrie Took ya long enough, directly being asked to at the debate.
"
176771,"RT @jewish_friend: It was a big mistake that Trump canceled the remote debate. Too bad.
"
176790,"@realBradStaggs I thought that savanna was a host not a debate opponent.
"
176804,"If Biden can do a town hall, why couldn't he debate tonight?
"
176819,"@TODAYshow @realDonaldTrump I guess this is not a town hall but a debate between the President and Savannah Guthrie
"
176878,"LIAR. He knows.
"
176960,"@Acosta You mean the debate with @SavannahGuthrie ?
"
176970,"@NBCNews @SavannahGuthrie The animosity coming from Guthrie is disgusting. Why is he here having a debate with her?
"
177012,"RT @postXamerica: This should be happening right now, but instead the two old men are hiding from each other on different networks.
"
177046,"RT @ctmather: UNBELIEVABLE!!
"
177083,"RT @CrystalSahar: So we are getting debate tonight after all. I have a feeling Biden is gonna win this one too. #DuelingTownHalls
"
177153,"RT @guyddog: What are the chances we get a question in this debate from a blue collar working white guy?  Ha ha - I slay me!
"
177259,"RT @thebradfordfile: I will be shocked if Joe Biden shows up to the next debate.
"
177277,"Town halls are not Biden's strong point. He needs the structure of the debate format.
"
177370,"@DagneyTaggertJG Why does the president have to debate with the moderator?  Who is this person, I will comment.
"
177466,"Completely scripted ambush.
"
177497,"Give Savannah Guthrie credit for doing her homework to prepare for her debate with Trump.
"
177513,"@kejames @NateSilver538 Debate is not contempt.
"
177522,"Is the debate actually happening tonight or?
"
177530,"@JoeBiden offering to further explain a question to one of the audience member after the debate is so on brand for him. #AbcTownHall
"
177617,"RT @albert1776: #CrookedJoeBiden is rambling on ABC.
"
177649,"@EricIdle Happened last debate as well
"
177721,"This @realDonaldTrump and @SavannahGuthrie debate is lit. #Debates2020
"
177763,"@YoniFreedhoff It's pretty bad (good) when Trump can't even win a debate as the only person there.
"
177802,"@kohenari Nailed it.
"
177807,"Good thing we cancelled the debate for COVID precautions https://t.co/b29JdbBQmL
"
177836,"RT @Tara_Windwalker: #Biden debate on youtube. https://t.co/vJL1MZ97PR
"
177888,"Testing for the debate was required though.
"
177930,"What a nut she is trying to answer for him
"
177940,"There's a debate tonight?
"
177975,"RT @washingtonpost: Unlike Trump, Nixon agreed to a virtual debate against Kennedy, besting JFK https://t.co/frCeOGZa7j
"
178018,"@ddale8 In other words, he was positive on the night of the debate.
"
178034,"Guthrie is straight up evil. Feel for her husband if he ever slips up.
"
178073,"@alec_sears She'll never win an election with this bad of a debate performance.
"
178089,"@CallMeMisterD @lewis_goodall @SavannahGuthrie Nope.
"
178110,"This is not a town hall for Trump but a debate with a moderator brat.
"
178170,"@seanhannity If anything it shows how guilty Biden really is. A non debate social media is evil to the constitution
"
178249,"@JackPosobiec @SavannahGuthrie Trump should do just a 1 on 1 with Rogan forget Biden debate.
"
178267,"Lol @ the girl holding her laugh 30 seconds in
"
178307,"@JZukawski Well at least Trump won't have to debate Biden and the ""moderator"" this time.
"
178569,"RT @DakotaAHensley: @secupp A debate with Guthrie and Trump.
"
178601,"Wow. watching these two debate timelines tells the story.
"
178617,"i really really hate the fact that you have to switch platforms to view both town halls, they really should have hosted a debate :/
"
178651,"@AmyAmerica @SavannahGuthrie This is a debate... wtf
"
178681,"@rundingoboyrun This is a bunch of crap. Trump is in a debate not a town hall
"
178707,"Great! Fake president trying to make any sense on tough questions
"
178928,"@SaraGideon slaying this debate!
"
178941,"RT @albert1776: @PilgrimsLanded I am.
"
178950,"I think you're the first to know. @msslilly 
"
178975,"We were told the debate was canceled.
"
179017,"@madrid_mike Bet the virtual debate is looking pretty good now.
"
179051,"RT @MattBinder: savannah guthrie is doing a better job than any of the debate moderators
"
179107,"Anybody notice Joe ""lying: Biden's eyes are back to being blue tonight? They were black in the first debate with President Trump. Why?
"
179209,"how you feel about what? chicken nuggets? Because I can debate that
"
179240,"@jemillerwbal You are giving them ratings after his melt down on safety measures for the 2nd Presidential debate. Shame on you
"
179280,"@Savannah @NBCNews , get real.  It's NOT your job to DEBATE and attack #POTUS @realDonaldTrump .  STFU
"
179303,"Trump won't say if he took a COVID test before the debate with Biden https://t.co/bhbFginRlZ
"
179348,"Its insulting isnt it?
"
179383,"@MattGertz Watching the Biden debate is keeping my sanity, I see.
"
179478,"Both of these discussions are VASTLY more informative than that debacle of a first debate.
"
179520,"@sarahcpr If it's not a debate, I'm not watching that clown. Don't encourage him with ratings.
"
179575,"Trump refuses to say if he was tested for COVID-19 before his debate with Joe Biden https://t.co/g313Xme3QK https://t.co/VLjIxNXom8
"
179635,"Watch the debate, tonight at 7 pm. https://t.co/J977k9BHrP
"
179686,"""Unbiased""... https://t.co/mSSx0htG9b
"
179749,"@BillOReilly Bill; you might be the 4th or 5th person watching the Biden debate, other than Biden, Stephanopolus, and Harris.
"
179775,"How the second debate just both dudes sneak dissing each other to they own boys while they purposely jam twitter?
"
179796,"So the second debate did end up happening, yes? Go Savannah Guthrie.
"
179899,"@SavannahGuthrie so this is your show.  Thought this was supposed to be a town hall.
"
179917,"@KevinMKruse @MSNBCDaily So in your first column, be sure to rip them a new one for this outrageous town hall debate scandal!
"
180020,"#SavannahGuthrie is the worst!!!
"
180089,"Why is she arguing with him through this whole debate unbelievable
"
180146,"Fuck a debate just have this MSNBC townhall rip this clown! Shout out to her for fact checking him live!
"
180168,"@pvtjokerus @VERBAL_CHANCLA Is she a moderator or there to debate?  She is awful.
"
180185,"@megynkelly I thought this was a town hall not the Savannah Guthrie debate
"
180199,"'maybe I did, maybe I didn't'??? He lies like a fucking fifth grader and yall praise him like a genius lmfao
"
180226,"RT @ChangeHart: This President is out of Control!  @gop @dnc
"
180249,"Watching Biden to hear rational and logical dialogue. #VoteBidenHarris2020toSaveAmerica #WithBidenWeCan
"
180262,"Preach brother! #TraitorJoe gets help with answers. #DaddyTrump gets interrupted and verbally assaulted.
"
180319,"@SavannahGuthrie thinks she is in a presidential debate!
"
180329,"@KatiePavlich she is attacking him every chance she gets...the debate is not about her, its about the audience and president...
"
180354,"Debate commission is just more swamp
"
180442,"Spot on!
"
180470,"@AdamCrigler @realDonaldTrump Uh... Is this a town hall or a debate with Savannah Guthrie?
"
180488,"@SavannahGuthrie you are the host of the town hall, you are not there to debate the President.
"
180508,"CO sunsets are unmatched .. debate yo momma
"
180566,"This is what the first debate should have been like!
"
180577,"@_qpatriot1776_ Why is the moderator acting like this is a debate and she one of the debaters?
"
180609,"Trump is getting absolutely destroyed in the town hall. This is so much better than a debate would have been
"
180630,"RT @Lodov2417: Wtf Trump has denounced white supremacy 100 times. FFS how many times does he have to do it?
"
180799,"@SavannahGuthrie Your job is to question and await answers. If you want to debate, run for office. Poorly done!
"
180849,"RT @PayDownTheDebt: #BidenTownHall 
"
180879,"Imagine
"
180880,"@SavannahGuthrie Savannah just destroyed blended in w the rest of the hacks w #TDS
"
180896,"I refuse to watch her be a c-nt
"
180942,"@MSNBC @SavannahGuthrie Mind your business and take care of of your limited debate liar
"
180958,"Why is this a debate between Guthrie and Trump?
"
180997,"Trump now says he doesn't remember when he was tested before the first presidential debate. The coverup continues:  https://t.co/EPJAw4BVx5
"
181041,"@biannagolodryga @SavannahGuthrie She's trying to DEBATE him with a hostile attitude and looks ridiculous.
"
181186,"Megyn are you high? Otherwise compromised? Seriously. Wat the fuck.
"
181216,"@megynkelly He refused a debate and we're supposed to just move on?  OK...
"
181353,"Savannah is out of control.   She is doing a horrible job.  Why is she yelling????
"
181482,"Is this townhall a debate between the moderator and Trump? This is absurd.
"
181497,"I didn't know Trump was supposed to debate Guthrie.  Wasn't this a town hall?
"
181515,"@susanvallee @NBCNewsPR @NBCNews Reality check! He did not want a virtual debate.
"
181532,"RT @kawashima_ami_: This fucking bitch with Trump is treating this like a debate. 
"
181611,"Trump endorses the Proud Boys during the debate and now endorses QAnon during the town hall.
"
181695,"Silver lining: this could be a debate
"
181812,"It is who Trump always is.
"
181827,"This is sort-of true but could  do much more
"
181836,"Joe biden is amazing when he doesn't have to worry about debate rules and being fair to the other people on stage
"
181859,"@babyfacebrewstr @deathtweeting Go back and review the Debate.
"
182115,"Imagine taking action against someone for lying. Shocking to the core of your lying, black soul, doesn't it?
"
182138,"@JessicaChasmar You watching the same debate I am?
"
182187,"RT @CopiahDawg: Helluva Presidential debate going on at @nbc right now.
"
182202,"Is this a debate #SavannahGuthrie VS. #Trump?
"
182229,"@WajahatAli He asked one of the participants to meet him after the debate to talk more. And he would do it! That's what we deserve!
"
182259,"After this Biden bombshell, will there be another presidential debate?
"
182311,"@RadioFreeTom She's been like that the entire debate.
"
182322,"If you believe this, I gotta bridge to sell ya
"
182334,"Is this a debate between @SavannahGuthrie and @realDonaldTrump or is this a townhall?
"
182376,"I didn't realize Savannah was running for POTUS. Silly me.
"
182389,"@SavannahGuthrie It's a town hall, not a debate so let the people ask questions. I know you're trying to help Biden but that's not your job.
"
182422,"Follow live coverage of the #CD3 debate tonight:
"
182432,"Let's make it a debate!! https://t.co/HLi0ziv0d4
"
182503,"trump the serial Liar
"
182563,"Guess we have a debate after all.. Trump vs Guthrie
"
182620,"RT @the_concert_mom: clean up your mess @nbc #NBCBlackout
"
182632,"This is basically Michael Scott in The Deposition.
"
182674,"Is this a townhall or a Guthrie/Trump debate??
"
182684,"Town halls live: Trump and Biden hold dueling events after canceled debate https://t.co/qJdOuWXP8h https://t.co/cHolSxH2uO
"
182768,"RT @NightlyPolitics: Trump endorses the Proud Boys during the debate and now endorses QAnon during the town hall.
"
182797,"I feel like im watching what the debate shouldve been...except for Grand Wizard Trump is muted on my tv...
"
182836,"@SavannahGuthrie this is not a town hall it's a debate.
"
182849,"RT @20PG20: @biannagolodryga @SavannahGuthrie She's trying to DEBATE him with a hostile attitude and looks ridiculous.
"
182888,"RT @_mishaelmhaynes: The talent in Barbados is beyond supreme. Debate yuh mudda.
"
182916,"Typical lefty
"
182998,"RT @_VeryFinePerson: Trump is doing pretty good in the debate.
"
183033,"He was ahead again!
"
183048,"@qjmoss66 President Trump is still handling this debate beautifully - making her look like the complete idiot that she is.
"
183113,"After the debate tonight, what will Trump call Savannah Guthrie on Twitter?
"
183165,"This town hall setup is better for Trump than the ugliness of him beating up on old man Biden. I don't think that first debate helped him.
"
183203,".@JoeBiden needs to meet w that young man after the debate and actually LISTEN to what he has to say!! #AbcTownHall
"
183292,"RT @vvanwilgenburg: I am not on Twitter for debate with anonymous accounts, threats or partisan politics. If you have a question, DM me.
"
183343,"@JasonMillerinDC Why do moderators think it's so cool to debate Trump?
"
183357,"It's very, very hard to watch.........
"
183395,"Wtf? This is crazy interview not a debate
"
183404,"He's a poor liar.  Roll those eyes Donnie, flip your hair, look nice and crazy.
"
183451,"Lies and more lies
"
183493,"Biden is having a town hall, Trump is having a debate. Samantha Guthrie is a nightmare.
"
183603,"Is this a town hall or a debate with Guthrie interrupting every single minute?
"
183653,"RT @taradublinrocks: HE DID NOT #TrumpLies #BoycottTrumpTownHall #BidenTownHall
"
183666,"@megynkelly Well, to be fair though, a dumpster fire in real time would be better for Trump than the last debate
"
183690,"This is not a debate @SavannahGuthrie let him speak! I have never wanted to break a TV before!!
"
183767,"RT @BeschlossDC: Now more necessary than ever for any TV debate between Biden and Trump to be only virtual.
"
183789,"@TrumpStudents @RyanAFournier @realDonaldTrump Savannah thinks she is in a debate. Hahaha!
"
183805,"@abc4utah Should we air the presidential townhall or a debate in a race with a 70 point spread in the polls? Ridiculous choice ABC4
"
183831,"My thoughts exactly!
"
183882,"@CNBC NBC=Sellout 
"
184016,"@bscobey13 Ok, I'll debate a wall...I always debate walls here https://t.co/IptFPAe8Bw
"
184034,"It's truly fascinating watching someone lose a debate when they're the only participant.
"
184050,"Donald Trump is spending his debate time talking about Nancy Pelosi.
"
184062,"Why does Trump have to debate this loud mouth angry democrat #SavannahGuthrie #TownHall. Let the people talk.
"
184083,"Commentary: Debate organizers, NBC rewarded Trump's petulance. Guess whose reputation took a hit https://t.co/UWFqCmvr9g
"
184103,"Totally not what's happening in the other debate.
"
184113,"@SavannahGuthrie has done an abysmal job tonight!
"
184212,"Except a positive test now tells you nothing. You can test positive for weeks
"
184286,"@SavannahGuthrie wow you're the MODERATOR/JOURNALIST...not a judge to debate with the President
"
184336,"TOWNHALL NOT! DEBATE SAVANNAH OF COURSE.  AND, LET'S GO @POTUS HITTING OUT OF THE PARK!
"
184362,"@Scepticdust He was better off sticking to a debate. Idiot
"
184475,"Savannah Guthrie is an absolute embarrassment.
"
184535,"@KatiePavlich She needs to shut up! She is not there to debate!
"
184550,"Agreed. But I love it when Trump tells them they are fake news to their face.
"
184568,"Guthrie interrupts about as much as Trump did in the first debate.
"
184621,"Town Hall or @POTUS vs @SavannahGuthrie debate?
"
184669,"Town halls live: Trump and Biden hold dueling events after canceled debate https://t.co/x0Q6XYyyWf https://t.co/HVbK6oIL4M
"
184696,"Im going to have to agree. Anything that gives me easy access because i can pull it up, is top tier, elite shit.
"
184731,"Hey @NBCNews !!  Is this a town hall or a debate between Trump and your twat??
"
184751,"RT @LawrenceLeritz: #PantsOnFire Full stop. https://t.co/35Lzl0S7OG
"
184763,"@EmmaKennedy There won't be another debate since Hunter Biden's Ukrainian funded crack and prostitute addiction has come out.
"
184804,"The President is actually having to debate tonight. #TrumpTownHall
"
184882,"RT @FOX17: Steve Scully, C-SPAN's political editor, was going to moderate the second presidential debate.
"
184911,"@MrDelicious13 Never debate it
"
184943,"NBC moderator is trying her best to turn this into a debate, not a ""town hall"".  Her tone, and expression is unprofessional.
"
184971,"Does this #TrumpTownHall count as President Trump's second debate?
"
184999,"@SavannahGuthrie of @NBCNews wants to debate @realDonaldTrump while moderating both the debate and the Townhall meeting!
"
185033,"This is an interesting debate between Donald Trump and Savannah Guthrie.
"
185045,"@DamonLinker @jbarro I'm watching Biden with calm blood pressure as I keep an eye on Twitter for the crazy uncle at the other debate.
"
185184,"Is everyone enjoying the Trump/@SavannahGuthrie  debate?
"
185193,"RT @BenShapQuotes: This @realDonaldTrump and @SavannahGuthrie debate is lit. #Debates2020
"
185273,"Would love to hear a townhall where the President could answer the people's questions and not debate the democrat paid shill moderating it.
"
185298,"How is this a town meeting. It is a left-wing attack, just like the Chris Wallace debate.
"
185371,"#TrumpTownHall when did this turn out to be a debate,  thought it was the audience asking questions.
"
185391,"RT @JuliaDavisNews: You asked for it, @NBCNews.
"
185403,"So classy, so distinguished, a fitting representative of this great nation? I hope not.
"
185522,"@megynkelly Because it is not a debate... it is trump unreality TV.
"
185564,"not watching biden's debate because it's probably boring, but I'm currently laughing my ass off because trump is fucking stupid
"
185612,"This is not a town hall this is a debate and Savannah Guthrie is a donkey. #TownHall #NBCNewsIsASellout
"
185657,"@SavannahGuthrie HACK Supreme
"
185669,"@SavannahGuthrie this is a Town Hall not a debate, stop being a c__t.
"
185711,"RT @NewRightNetwork: Is everyone enjoying the Trump/@SavannahGuthrie  debate?
"
185770,"RT @Autistic_Female: She got one thing right. She does not understand much of anything! https://t.co/DEBZy15J8x
"
185818,"@Harlan yeah i wonder who pulled out of the debate
"
185829,"RT @Thecapummm: Truth
"
185875,". @SavannahGuthrie is this a debate with you or a town hall?
"
185927,"This Trump and Katie Couric debate is wild!
"
185952,"She's obnoxious! Nails on a chalkboard. I'm sick of Trump having to debate Joe Biden's fluffer!
"
185990,"Can we please get THIS Donals Trump at a debate
"
186013,"@MZHemingway After this debate savannah Guthrie probably in second nationally behind Trump for president.
"
186100,"River obvio 100%
"
186104,"It worked so well first time.
"
186176,"IMO this is one of Biden's best debate-ish performances of the cycle, both in the primary and in the general.
"
186335,"@KristinBTate If Trump just answered the fucking questions it would be a debate.
"
186374,"She is one rude b-tch!!!
"
186382,"Hey look, the former press secretary didn't realize Trump refused to a virtual debate.
"
186415,"Joe Biden letting off all his leftover debate bars
"
186424,"Can orange man even remember his ABCs?
"
186432,"Trump will get the ratings. Only ppl this debate will convince to vote #BIDEN r NUT JOB dems.
"
186499,"TY for proving .@SavannahGutherie .@NBCNews #FakeNews #TrumpTownhall #TrumpPence2020
"
186575,"@Olivianuzzi Poor trump has to debate an angry host lol
"
186598,"RT @VAKruta: We were told the debate was canceled.
"
186610,"There are quite a few good folks on Fox Business News.
"
186651,"RT @vjejrama: this iphone vs android debate is so funny to me. we're actually weeding out the classists in the bunch https://t.co/DO1FJVpZoO
"
186687,"Do you think it is a hologram from the other debate?
"
186721,"Because he is not afraid of anyone.  He comes off  on message and she comes off looking like a liberal shrew.
"
186744,"Pro tip: stream both of the town halls at the same time, so it sounds just like the first debate
"
186825,"a debate between Savannah and Trump. This is fucking terrible.
"
186854,"@RubinReport So Savannah is Joe's stand in for the debate that was supposed to happen. Got it.
"
186883,"RT @marjoriesba: . @SavannahGuthrie is this a debate with you or a town hall?
"
